76f6202e1000-76f6212e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6212e1000-76f6222e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6222e1000-76f6232e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6232e1000-76f6242e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6242e1000-76f6252e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6252e1000-76f6262e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6262e1000-76f6272e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6272e1000-76f6282e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6282e1000-76f6292e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f6292e1000-76f62a2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f62a2e1000-76f62b2e1000 rw-p 00000000 00:01 4175                       /memfd:child (deleted)
76f62b2e1000-76f78b2e1000 rw-p 00000000 00:00 0 
76ff2f873000-76ff2fc73000 rwxp 00000000 00:00 0 
76ff2fc73000-76ff2fc74000 ---p 00000000 00:00 0 
76ff2fc74000-76ff2fc76000 rw-p 00000000 00:00 0 
76ff2fc76000-76ff30c74000 ---p 00000000 00:00 0 
76ff30c74000-76ff30d79000 rw-p 00000000 00:00 0 
76ff30d79000-76ff31579000 r-xp 00000000 00:00 0 
76ff31579000-76ff3157a000 ---p 00000000 00:00 0 
76ff3157a000-76ff31675000 rw-p 00000000 00:00 0                          [anon:stack_and_tls:10570]
76ff31675000-76ff31676000 ---p 00000000 00:00 0 
76ff31676000-76ff31678000 rw-p 00000000 00:00 0 
76ff31678000-76ff32677000 ---p 00000000 00:00 0 
76ff32677000-76ff3276f000 rw-p 00000000 00:00 0 
76ff3276f000-76ff32770000 ---p 00000000 00:00 0 
76ff32770000-76ff3286b000 rw-p 00000000 00:00 0                          [anon:stack_and_tls:10565]
76ff3286b000-76ff3286c000 ---p 00000000 00:00 0 
76ff3286c000-76ff3286e000 rw-p 00000000 00:00 0 
76ff3286e000-76ff3386d000 ---p 00000000 00:00 0 
76ff3386d000-76ff33965000 rw-p 00000000 00:00 0 
76ff33965000-76ff33966000 ---p 00000000 00:00 0 
